,Date,VIX,10Y_Treasury_Yield,30Y_Treasury_Yield,Gold_Price,Oil_Price,EUR_USD,GDP,Unemployment_Rate,CPI,PPI,Retail_Sales,Industrial_Production,Non_Farm_Payrolls,Housing_Starts
276,2020-04-26,35.93000030517578,0.5960000157356262,1.1770000457763672,1723.5,16.940000534057617,1.077702283859253,19913.143,14.8,256.126,185.5,408312.0,84.5979,130421.0,931.0
277,2020-05-03,37.18999862670898,0.6420000195503235,1.277999997138977,1694.5,19.780000686645508,1.094546914100647,19913.143,14.8,256.126,185.5,408312.0,84.5979,130421.0,931.0
278,2020-05-10,27.979999542236328,0.6819999814033508,1.3860000371932983,1709.9000244140625,24.739999771118164,1.0837171077728271,19913.143,14.8,256.126,185.5,408312.0,84.5979,130421.0,931.0
279,2020-05-17,31.88999938964844,0.6399999856948853,1.319000005722046,1753.4000244140625,29.43000030517578,1.0806955099105835,19913.143,14.8,256.126,185.5,408312.0,84.5979,130421.0,931.0
280,2020-05-24,28.15999984741211,0.6570000052452087,1.371000051498413,1734.5999755859375,33.25,1.0952903032302856,19913.143,14.8,256.126,185.5,408312.0,84.5979,130421.0,931.0
281,2020-05-31,27.51000022888184,0.6480000019073486,1.406999945640564,1736.9000244140625,35.4900016784668,1.1079105138778689,19913.143,14.8,256.126,185.5,408312.0,84.5979,130421.0,931.0
282,2020-06-07,24.520000457763672,0.9039999842643738,1.6779999732971191,1676.199951171875,39.54999923706055,1.1337867975234983,19913.143,14.8,256.126,185.5,408312.0,84.5979,130421.0,931.0
283,2020-06-14,36.09000015258789,0.6990000009536743,1.4500000476837158,1729.300048828125,36.2599983215332,1.1288082599639893,19913.143,14.8,256.126,185.5,408312.0,84.5979,130421.0,931.0
284,2020-06-21,35.119998931884766,0.6970000267028809,1.4700000286102295,1745.9000244140625,39.75,1.1211000680923462,19913.143,14.8,256.126,185.5,408312.0,84.5979,130421.0,931.0
285,2020-06-28,34.72999954223633,0.6359999775886536,1.371999979019165,1772.5,38.4900016784668,1.1222084760665894,19913.143,14.8,256.126,185.5,408312.0,84.5979,130421.0,931.0
286,2020-07-05,27.68000030517578,0.6690000295639038,1.4290000200271606,1784.0,40.650001525878906,1.1251378059387207,21647.64,10.2,258.408,193.0,535644.0,95.0144,139240.0,1523.0
287,2020-07-12,27.290000915527344,0.6330000162124634,1.3259999752044678,1798.199951171875,40.54999923706055,1.128795504570007,21647.64,10.2,258.408,193.0,535644.0,95.0144,139240.0,1523.0
288,2020-07-19,25.68000030517578,0.628000020980835,1.3289999961853027,1808.300048828125,40.59000015258789,1.139211654663086,21647.64,10.2,258.408,193.0,535644.0,95.0144,139240.0,1523.0
289,2020-07-26,25.84000015258789,0.5889999866485596,1.2389999628067017,1897.300048828125,41.290000915527344,1.1596084833145142,21647.64,10.2,258.408,193.0,535644.0,95.0144,139240.0,1523.0
290,2020-08-02,24.459999084472656,0.5360000133514404,1.1979999542236328,1962.800048828125,40.27000045776367,1.1872254610061646,21647.64,10.2,258.408,193.0,535644.0,95.0144,139240.0,1523.0
