Date,Time,VIX,10Y_Treasury_Yield,30Y_Treasury_Yield,Gold_Price,Oil_Price,EUR_USD,GDP,Unemployment_Rate,CPI,PPI,Retail_Sales,Industrial_Production,Non_Farm_Payrolls,Housing_Starts
11/27/2016,21:20,-0.21031517,-0.22132908,-0.19480997,-0.30521083,-0.27197796,0.32517007,-0.52288425,-0.084874906,-0.43109858,-0.6003102,-0.40335175,-0.054217525,-0.23134612,-0.24223836
12/4/2016,22:20,-0.21847495,-0.14166427,-0.04326239,-0.3136763,-0.3909772,0.20190383,-0.58765876,-0.18912458,-0.3477985,-0.47265562,-0.6070605,-0.061466813,-0.18449993,-0.2893555
12/11/2016,23:20,-0.14977345,-0.0884239,-0.020580556,-0.27209592,-0.4341978,0.24678192,-0.5444617,-0.0922831,-0.37074587,-0.46392244,-0.6498778,0.060572736,-0.21492755,-0.16793321
12/18/2016,0:20,-0.27021307,-0.11773974,0.097368315,-0.46936256,-0.37272996,0.25458875,-0.6133295,0.000638154,-0.3732486,-0.5611656,-0.69385135,0.1962206,-0.26804778,-0.17976598
12/25/2016,1:20,-0.27411744,-0.18041678,0.065704,-0.46840245,-0.32364762,0.29220366,-0.542963,-0.117198616,-0.39492047,-0.61160064,-0.5905696,0.22432935,-0.23823522,-0.31773162
1/1/2017,2:20,-0.2735824,-0.1799947,0.069871224,-0.5028151,-0.267638,0.12389602,-0.5595231,-0.23221333,-0.4217349,-0.55486834,-0.5958551,0.23058936,-0.09929953,-0.30701208
1/8/2017,3:20,-0.26400962,-0.12649299,0.12557986,-0.5738694,-0.22168958,0.14094979,-0.54858875,-0.21930075,-0.46753046,-0.46034953,-0.59954685,0.28726906,-0.027921546,-0.287942
1/15/2017,4:20,-0.2470718,-0.0742937,0.26519823,-0.6135719,-0.2657519,0.1124422,-0.5365484,-0.24111044,-0.47875822,-0.50163317,-0.62283534,0.27908278,-0.032958005,-0.42209473
1/22/2017,5:20,-0.288864,-0.13757677,0.17990583,-0.6264828,-0.18342344,0.11897144,-0.6553962,-0.34635517,-0.44752392,-0.5707189,-0.6658301,0.36174992,-0.093118034,-0.3553557
1/29/2017,6:20,-0.24641542,0.04655029,0.25602219,-0.6389802,-0.22118369,0.1399731,-0.6864704,-0.3853252,-0.4771733,-0.51201546,-0.7059397,0.3718784,-0.09559633,-0.35158518
2/5/2017,7:20,-0.103964165,0.019482246,0.1302219,-0.5535863,-0.26614326,0.20570281,-0.61180234,-0.3341368,-0.5236332,-0.53483725,-0.6610736,0.27253294,-0.106160335,-0.38118073
2/12/2017,8:20,-0.19253382,0.1027612,0.11419739,-0.6374626,-0.25048834,0.111688964,-0.6115711,-0.3378914,-0.5544703,-0.51424944,-0.69712996,0.21177375,-0.094917536,-0.4406485
2/19/2017,9:20,-0.21488556,0.09187712,0.08709412,-0.5261711,-0.3063128,0.18515821,-0.57301843,-0.32096463,-0.51173985,-0.45940635,-0.7036635,0.18409409,-0.05355303,-0.47013023
2/26/2017,10:20,-0.32616702,0.05316683,0.20744857,-0.6038289,-0.39908352,0.05926557,-0.7166616,-0.3235792,-0.49280223,-0.48745212,-0.9013572,0.18967417,-0.04258905,-0.4755259
3/5/2017,11:20,-0.3147672,0.05641535,0.21439555,-0.69052964,-0.39958876,0.088003725,-0.6821159,-0.28033134,-0.5512262,-0.47186312,-0.94026625,0.18482357,-0.10211073,-0.50537276
3/12/2017,12:20,-0.30998376,0.017122993,0.22800753,-0.6759347,-0.46252477,0.091386005,-0.6543462,-0.32048982,-0.506458,-0.48051926,-0.908533,0.10257547,-0.17252725,-0.6895968
3/19/2017,13:20,-0.33802548,-0.012423473,0.20252833,-0.7140926,-0.3838109,0.02830208,-0.7320858,-0.3392575,-0.5646625,-0.4788943,-0.9669737,0.16515878,-0.098730825,-0.5902606
3/26/2017,14:20,-0.3061082,0.11892146,0.2778145,-0.7161201,-0.45085013,0.096711665,-0.6699647,-0.31095916,-0.5987056,-0.55523837,-0.8687386,0.18980898,-0.11221572,-0.6228104
4/2/2017,15:20,-0.26489702,0.008132851,0.27150366,-0.68873775,-0.42826515,0.042498745,-0.6707481,-0.25095236,-0.60140884,-0.56515443,-0.8777464,0.13333285,-0.030066315,-0.57146317
4/9/2017,16:20,-0.24278352,0.09868825,0.23476973,-0.6821883,-0.45089036,0.12160254,-0.6415435,-0.27605918,-0.5541966,-0.50363445,-0.8132244,0.111675106,-0.13292046,-0.63546294
4/16/2017,17:20,-0.2042213,0.004894657,0.13555169,-0.59881234,-0.449532,0.08775152,-0.63310623,-0.25047117,-0.5576951,-0.4550811,-0.82099843,0.045414574,-0.0445449,-0.6290229
4/23/2017,18:20,-0.29273313,0.12871154,0.16094661,-0.67018676,-0.45083496,0.061608385,-0.66116583,-0.26130253,-0.6423695,-0.5220692,-0.84483135,0.1398621,-0.069754355,-0.57874185
4/30/2017,19:20,-0.31951144,0.07076258,0.21238002,-0.67546684,-0.46120343,0.08105996,-0.66665244,-0.25376797,-0.581415,-0.54615545,-0.8453834,0.16762507,-0.07823219,-0.5981918
